session_id,session_date,city,station_id,operator,charger_type,energy_kwh,duration_min,revenue
136,2024-01-03,Delhi,DEL-01,VoltNow,Fast,29.58,78.4,650.76
137,2024-01-03,Delhi,DEL-01,VoltNow,Standard,20.95,106.8,251.4
138,2024-01-03,Delhi,DEL-01,ChargeGrid,Standard,24.9,34.9,298.8
139,2024-01-03,Delhi,DEL-02,VoltNow,Fast,17.24,116.5,379.28
140,2024-01-03,Delhi,DEL-02,ChargeGrid,Fast,19.88,75.6,437.36
141,2024-01-03,Delhi,DEL-02,VoltNow,Fast,32.99,57.9,725.78
142,2024-01-03,Delhi,DEL-02,ChargeGrid,Fast,19.82,34.1,436.04
143,2024-01-03,Delhi,DEL-02,VoltNow,Fast,26.4,111.7,580.8
144,2024-01-03,Delhi,DEL-02,ChargeGrid,Fast,33.07,62.2,727.54
145,2024-01-03,Mumbai,MUM-01,ChargeGrid,Fast,9.72,21.0,213.84
146,2024-01-03,Mumbai,MUM-01,ChargeGrid,Standard,34.11,72.8,409.32
147,2024-01-03,Mumbai,MUM-01,VoltNow,Fast,19.54,66.8,429.88
148,2024-01-03,Mumbai,MUM-01,ChargeGrid,Fast,12.57,58.0,276.54
149,2024-01-03,Mumbai,MUM-01,ChargeGrid,Fast,29.91,56.8,658.02
150,2024-01-03,Mumbai,MUM-01,ChargeGrid,Standard,14.04,76.1,168.48
151,2024-01-03,Mumbai,MUM-02,ChargeGrid,Standard,31.88,104.9,382.56
152,2024-01-03,Mumbai,MUM-02,VoltNow,Standard,17.5,27.8,210.0
153,2024-01-03,Mumbai,MUM-02,ChargeGrid,Standard,6.45,91.8,77.4
154,2024-01-03,Mumbai,MUM-03,ChargeGrid,Fast,17.26,75.7,379.72
155,2024-01-03,Mumbai,MUM-03,ChargeGrid,Standard,28.7,20.6,344.4
156,2024-01-03,Mumbai,MUM-03,VoltNow,Fast,18.5,86.5,407.0
157,2024-01-03,Hyderabad,HYD-01,ChargeGrid,Fast,9.0,37.9,198.0
158,2024-01-03,Hyderabad,HYD-01,VoltNow,Standard,34.28,40.8,411.36
159,2024-01-03,Hyderabad,HYD-01,ChargeGrid,Fast,9.6,90.4,211.2
160,2024-01-03,Hyderabad,HYD-01,VoltNow,Fast,19.29,35.5,424.38
161,2024-01-03,Hyderabad,HYD-01,VoltNow,Standard,27.27,73.1,327.24
162,2024-01-03,Hyderabad,HYD-01,VoltNow,Standard,29.39,50.5,352.68
163,2024-01-03,Hyderabad,HYD-01,VoltNow,Fast,23.97,49.0,527.34
164,2024-01-03,Hyderabad,HYD-01,VoltNow,Standard,15.42,65.0,185.04
165,2024-01-03,Hyderabad,HYD-02,ChargeGrid,Fast,13.71,93.0,301.62
166,2024-01-03,Hyderabad,HYD-02,VoltNow,Standard,10.41,43.0,124.92
167,2024-01-03,Hyderabad,HYD-02,ChargeGrid,Standard,18.16,42.5,217.92
168,2024-01-04,Bengaluru,BLR-01,ChargeGrid,Fast,8.83,36.4,194.26
169,2024-01-04,Bengaluru,BLR-01,ChargeGrid,Fast,20.69,103.2,455.18
170,2024-01-04,Bengaluru,BLR-01,VoltNow,Standard,26.24,28.4,314.88
171,2024-01-04,Bengaluru,BLR-01,VoltNow,Fast,29.14,117.3,641.08
172,2024-01-04,Bengaluru,BLR-01,VoltNow,Fast,20.26,88.2,445.72
173,2024-01-04,Bengaluru,BLR-01,VoltNow,Fast,33.61,33.1,739.42
174,2024-01-04,Bengaluru,BLR-01,VoltNow,Fast,10.46,103.2,230.12
175,2024-01-04,Bengaluru,BLR-01,ChargeGrid,Fast,15.4,108.8,338.8
176,2024-01-04,Bengaluru,BLR-01,ChargeGrid,Fast,27.82,93.4,612.04
177,2024-01-04,Bengaluru,BLR-02,ChargeGrid,Standard,17.11,46.0,205.32
178,2024-01-04,Bengaluru,BLR-02,VoltNow,Fast,7.58,30.6,166.76
179,2024-01-04,Bengaluru,BLR-02,VoltNow,Standard,14.15,100.6,169.8
180,2024-01-04,Bengaluru,BLR-02,ChargeGrid,Fast,15.91,81.8,350.02
181,2024-01-04,Bengaluru,BLR-02,ChargeGrid,Fast,22.09,105.6,485.98
182,2024-01-04,Bengaluru,BLR-02,ChargeGrid,Fast,34.78,33.1,765.16
183,2024-01-04,Bengaluru,BLR-02,ChargeGrid,Fast,16.18,61.0,355.96
184,2024-01-04,Bengaluru,BLR-02,VoltNow,Fast,13.17,70.8,289.74
185,2024-01-04,Bengaluru,BLR-02,ChargeGrid,Fast,9.75,26.2,214.5
186,2024-01-04,Bengaluru,BLR-03,VoltNow,Fast,24.25,101.9,533.5
187,2024-01-04,Bengaluru,BLR-03,VoltNow,Standard,9.37,71.2,112.44
188,2024-01-04,Bengaluru,BLR-03,VoltNow,Fast,22.79,66.0,501.38
189,2024-01-04,Bengaluru,BLR-03,VoltNow,Standard,14.86,23.4,178.32
190,2024-01-04,Bengaluru,BLR-03,ChargeGrid,Standard,30.05,60.0,360.6
191,2024-01-04,Delhi,DEL-01,VoltNow,Fast,21.16,44.2,465.52
192,2024-01-04,Delhi,DEL-01,VoltNow,Standard,22.24,92.0,266.88
193,2024-01-04,Delhi,DEL-01,VoltNow,Fast,30.74,94.7,676.28
194,2024-01-04,Delhi,DEL-01,VoltNow,Standard,26.28,83.9,315.36
195,2024-01-04,Delhi,DEL-01,VoltNow,Fast,15.84,106.7,348.48
196,2024-01-04,Delhi,DEL-01,VoltNow,Fast,21.99,34.4,483.78
197,2024-01-04,Delhi,DEL-01,ChargeGrid,Fast,25.42,58.3,559.24
198,2024-01-04,Delhi,DEL-02,ChargeGrid,Fast,17.21,25.7,378.62
199,2024-01-04,Delhi,DEL-02,VoltNow,Standard,21.55,57.3,258.6
200,2024-01-04,Delhi,DEL-02,ChargeGrid,Fast,14.96,113.7,329.12
201,2024-01-04,Delhi,DEL-02,ChargeGrid,Fast,27.25,26.6,599.5
202,2024-01-04,Delhi,DEL-02,VoltNow,Standard,18.91,52.8,226.92
203,2024-01-04,Delhi,DEL-02,ChargeGrid,Fast,23.11,20.1,508.42
204,2024-01-04,Delhi,DEL-02,VoltNow,Fast,28.28,98.5,622.16
205,2024-01-04,Mumbai,MUM-01,VoltNow,Standard,33.32,79.6,399.84
206,2024-01-04,Mumbai,MUM-01,ChargeGrid,Standard,29.08,73.6,348.96
207,2024-01-04,Mumbai,MUM-01,ChargeGrid,Standard,17.53,102.7,210.36
208,2024-01-04,Mumbai,MUM-02,VoltNow,Standard,28.74,96.4,344.88
209,2024-01-04,Mumbai,MUM-02,ChargeGrid,Standard,8.05,53.1,96.6
210,2024-01-04,Mumbai,MUM-02,VoltNow,Fast,10.9,85.0,239.8
211,2024-01-04,Mumbai,MUM-02,VoltNow,Fast,7.3,111.2,160.6
212,2024-01-04,Mumbai,MUM-03,VoltNow,Standard,16.43,30.8,197.16
213,2024-01-04,Mumbai,MUM-03,ChargeGrid,Fast,32.6,107.6,717.2
214,2024-01-04,Mumbai,MUM-03,ChargeGrid,Fast,12.36,78.3,271.92
215,2024-01-04,Mumbai,MUM-03,ChargeGrid,Fast,12.84,89.6,282.48
216,2024-01-04,Mumbai,MUM-03,VoltNow,Fast,20.72,49.1,455.84
217,2024-01-04,Mumbai,MUM-03,VoltNow,Fast,16.47,87.2,362.34
218,2024-01-04,Mumbai,MUM-03,ChargeGrid,Standard,27.54,30.2,330.48
219,2024-01-04,Hyderabad,HYD-01,ChargeGrid,Fast,31.57,30.1,694.54
220,2024-01-04,Hyderabad,HYD-01,ChargeGrid,Standard,8.47,113.2,101.64
221,2024-01-04,Hyderabad,HYD-01,VoltNow,Fast,7.33,51.8,161.26
222,2024-01-04,Hyderabad,HYD-01,VoltNow,Fast,24.21,113.5,532.62
223,2024-01-04,Hyderabad,HYD-01,VoltNow,Fast,12.78,26.0,281.16
224,2024-01-04,Hyderabad,HYD-01,VoltNow,Standard,14.8,20.2,177.6
225,2024-01-04,Hyderabad,HYD-01,VoltNow,Standard,28.17,51.2,338.04
226,2024-01-04,Hyderabad,HYD-01,VoltNow,Fast,34.01,84.1,748.22
227,2024-01-04,Hyderabad,HYD-01,ChargeGrid,Fast,16.02,42.0,352.44
228,2024-01-04,Hyderabad,HYD-02,VoltNow,Standard,34.25,42.1,411.0
229,2024-01-04,Hyderabad,HYD-02,VoltNow,Fast,28.19,87.2,620.18
230,2024-01-04,Hyderabad,HYD-02,VoltNow,Fast,17.38,61.1,382.36
231,2024-01-04,Hyderabad,HYD-02,ChargeGrid,Fast,32.19,49.4,708.18
232,2024-01-04,Hyderabad,HYD-02,VoltNow,Fast,6.1,58.1,134.2
233,2024-01-04,Hyderabad,HYD-02,VoltNow,Fast,29.1,118.4,640.2
234,2024-01-04,Hyderabad,HYD-02,VoltNow,Fast,33.21,93.2,730.62
235,2024-01-04,Hyderabad,HYD-02,VoltNow,Standard,19.03,71.6,228.36
236,2024-01-04,Hyderabad,HYD-02,ChargeGrid,Standard,12.68,30.6,152.16
237,2024-01-05,Bengaluru,BLR-01,ChargeGrid,Fast,12.9,81.0,283.8
238,2024-01-05,Bengaluru,BLR-01,VoltNow,Fast,24.37,49.9,536.14
239,2024-01-05,Bengaluru,BLR-01,ChargeGrid,Fast,27.63,78.2,607.86
240,2024-01-05,Bengaluru,BLR-01,VoltNow,Standard,16.76,46.9,201.12
241,2024-01-05,Bengaluru,BLR-01,VoltNow,Fast,22.51,65.2,495.22
242,2024-01-05,Bengaluru,BLR-01,ChargeGrid,Standard,26.34,68.1,316.08
243,2024-01-05,Bengaluru,BLR-01,ChargeGrid,Fast,21.02,75.9,462.44
244,2024-01-05,Bengaluru,BLR-02,VoltNow,Standard,26.76,105.7,321.12
245,2024-01-05,Bengaluru,BLR-02,VoltNow,Fast,20.21,45.2,444.62
246,2024-01-05,Bengaluru,BLR-02,VoltNow,Fast,17.21,53.2,378.62
247,2024-01-05,Bengaluru,BLR-03,ChargeGrid,Standard,31.1,45.8,373.2
248,2024-01-05,Bengaluru,BLR-03,VoltNow,Standard,8.92,56.8,107.04
249,2024-01-05,Bengaluru,BLR-03,VoltNow,Standard,24.23,97.4,290.76
250,2024-01-05,Delhi,DEL-01,VoltNow,Fast,24.04,79.8,528.88
251,2024-01-05,Delhi,DEL-01,VoltNow,Standard,7.69,46.6,92.28
252,2024-01-05,Delhi,DEL-01,VoltNow,Fast,8.35,102.3,183.7
253,2024-01-05,Delhi,DEL-01,VoltNow,Fast,11.42,53.7,251.24
254,2024-01-05,Delhi,DEL-01,ChargeGrid,Standard,31.94,91.5,383.28
255,2024-01-05,Delhi,DEL-01,ChargeGrid,Fast,17.52,96.7,385.44
256,2024-01-05,Delhi,DEL-01,ChargeGrid,Fast,8.59,64.9,188.98
257,2024-01-05,Delhi,DEL-01,ChargeGrid,Fast,20.83,61.0,458.26
258,2024-01-05,Delhi,DEL-02,ChargeGrid,Standard,32.24,36.1,386.88
259,2024-01-05,Delhi,DEL-02,VoltNow,Fast,17.65,83.7,388.3
260,2024-01-05,Delhi,DEL-02,ChargeGrid,Fast,16.41,23.9,361.02
261,2024-01-05,Mumbai,MUM-01,ChargeGrid,Standard,6.52,37.3,78.24
262,2024-01-05,Mumbai,MUM-01,VoltNow,Fast,32.67,30.2,718.74
263,2024-01-05,Mumbai,MUM-01,VoltNow,Fast,34.72,66.7,763.84
264,2024-01-05,Mumbai,MUM-01,VoltNow,Fast,25.03,57.1,550.66
265,2024-01-05,Mumbai,MUM-01,ChargeGrid,Standard,22.05,100.1,264.6
266,2024-01-05,Mumbai,MUM-01,VoltNow,Fast,25.15,31.9,553.3
267,2024-01-05,Mumbai,MUM-02,VoltNow,Standard,11.46,79.1,137.52
268,2024-01-05,Mumbai,MUM-02,VoltNow,Standard,19.47,29.2,233.64
269,2024-01-05,Mumbai,MUM-02,ChargeGrid,Fast,27.49,83.8,604.78
270,2024-01-05,Mumbai,MUM-02,ChargeGrid,Fast,28.41,106.0,625.02
271,2024-01-05,Mumbai,MUM-02,ChargeGrid,Standard,11.92,99.9,143.04
272,2024-01-05,Mumbai,MUM-02,ChargeGrid,Standard,11.7,69.2,140.4
273,2024-01-05,Mumbai,MUM-03,ChargeGrid,Standard,28.64,109.5,343.68
274,2024-01-05,Mumbai,MUM-03,VoltNow,Standard,8.95,52.7,107.4
275,2024-01-05,Mumbai,MUM-03,ChargeGrid,Fast,8.32,48.0,183.04
276,2024-01-05,Mumbai,MUM-03,VoltNow,Fast,34.11,37.7,750.42
277,2024-01-05,Hyderabad,HYD-01,ChargeGrid,Standard,6.38,116.8,76.56
278,2024-01-05,Hyderabad,HYD-01,VoltNow,Standard,6.58,28.4,78.96
279,2024-01-05,Hyderabad,HYD-01,VoltNow,Fast,17.07,82.9,375.54
280,2024-01-05,Hyderabad,HYD-01,VoltNow,Fast,34.25,70.3,753.5
281,2024-01-05,Hyderabad,HYD-01,VoltNow,Standard,13.71,97.5,164.52
282,2024-01-05,Hyderabad,HYD-01,VoltNow,Fast,29.15,32.6,641.3
283,2024-01-05,Hyderabad,HYD-01,ChargeGrid,Standard,31.74,67.0,380.88
284,2024-01-05,Hyderabad,HYD-01,VoltNow,Fast,24.4,115.0,536.8
285,2024-01-05,Hyderabad,HYD-01,VoltNow,Standard,15.41,34.0,184.92
286,2024-01-05,Hyderabad,HYD-02,ChargeGrid,Fast,13.0,76.3,286.0
287,2024-01-05,Hyderabad,HYD-02,VoltNow,Fast,23.46,104.8,516.12
288,2024-01-05,Hyderabad,HYD-02,VoltNow,Fast,9.73,111.5,214.06
289,2024-01-06,Bengaluru,BLR-01,ChargeGrid,Fast,8.64,44.6,190.08
290,2024-01-06,Bengaluru,BLR-01,VoltNow,Fast,7.17,111.7,157.74
291,2024-01-06,Bengaluru,BLR-01,VoltNow,Fast,18.8,115.7,413.6
292,2024-01-06,Bengaluru,BLR-01,VoltNow,Fast,26.13,118.3,574.86
293,2024-01-06,Bengaluru,BLR-01,VoltNow,Fast,20.49,63.0,450.78
294,2024-01-06,Bengaluru,BLR-01,ChargeGrid,Fast,33.19,26.8,730.18
295,2024-01-06,Bengaluru,BLR-02,ChargeGrid,Standard,24.13,28.0,289.56
296,2024-01-06,Bengaluru,BLR-02,VoltNow,Fast,26.11,92.7,574.42
297,2024-01-06,Bengaluru,BLR-02,ChargeGrid,Standard,34.19,40.8,410.28
298,2024-01-06,Bengaluru,BLR-02,VoltNow,Standard,10.44,82.6,125.28
299,2024-01-06,Bengaluru,BLR-02,ChargeGrid,Fast,32.37,77.3,712.14
300,2024-01-06,Bengaluru,BLR-02,ChargeGrid,Standard,22.18,64.6,266.16
301,2024-01-06,Bengaluru,BLR-02,VoltNow,Standard,12.33,63.8,147.96
302,2024-01-06,Bengaluru,BLR-03,VoltNow,Fast,22.96,109.2,505.12
303,2024-01-06,Bengaluru,BLR-03,ChargeGrid,Fast,21.84,83.5,480.48
304,2024-01-06,Bengaluru,BLR-03,VoltNow,Standard,22.5,77.4,270.0
305,2024-01-06,Bengaluru,BLR-03,ChargeGrid,Fast,15.72,119.1,345.84
306,2024-01-06,Delhi,DEL-01,VoltNow,Fast,16.04,35.1,352.88
307,2024-01-06,Delhi,DEL-01,ChargeGrid,Fast,16.44,78.7,361.68
308,2024-01-06,Delhi,DEL-01,VoltNow,Fast,11.44,79.7,251.68
309,2024-01-06,Delhi,DEL-01,ChargeGrid,Fast,33.74,32.9,742.28
310,2024-01-06,Delhi,DEL-01,VoltNow,Fast,9.73,112.3,214.06
311,2024-01-06,Delhi,DEL-01,VoltNow,Fast,26.72,98.8,587.84
312,2024-01-06,Delhi,DEL-01,ChargeGrid,Fast,6.18,86.7,135.96
313,2024-01-06,Delhi,DEL-02,ChargeGrid,Standard,23.31,80.9,279.72
314,2024-01-06,Delhi,DEL-02,VoltNow,Fast,22.62,76.0,497.64
